Century,Poet,Wikipedia Length,Norton 2018,Norton 2005,Norton 1983,Norton 1975,Norton 1970,Gender,Race,Title,First Line,Whole Poem,Source,Generation -- Title,Edit Distance -- Title,Generation -- Firstline,Edit Distance -- Firstline,Generation -- Firstline Only,Edit Distance -- Firstline Only,Retrievable -- Title,Retrievable -- Firstline,Retrievable -- Firstline Only,Number Retrieved,Retrievable
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,Bury Me in a Free Land,"Make me a grave where'er you will,","Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",https://poets.org/poem/bury-me-free-land,"Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",0,"Make me a grave where'er you will, In a lowly plain or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",1,"Make it not in a churchyard or on some hill; In that secret place where your heart resides, Let the grave be dug, where love abides. Beneath the willow's weeping shade, Where memories linger and dreams cascade, Lay me gently, with flowers adorned, Where the beauty of nature is forever adorned. Let the river's gentle murmur be near, A soothing melody for all who are dear, Where the sun's rays touch the ground, And a peacefulness in silence is found. No need for tombstones or grand designs, Just simplicity and nature's signs, For in this place, my soul will rest, With the ones I loved, I'll be forever blessed. And when the wind whispers through the trees, It shall carry my spirit on gentle breeze, To those I left, but never truly part, As I find solace in eternity's heart. So, make me a grave where love prevails, Where joy and sorrow both leave trails, For in the embrace of cherished emotion, I'll find eternal peace and devotion.",884,1,1,0,2,TRUE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,My Mother's Kiss,"My mother's kiss, my mother's kiss,","My mother's kiss, my mother's kiss, I feel its impress now; As in the bright and happy days She pressed it on my brow. You say it is a fancied thing Within my memory fraught; To me it has a sacred place— The treasure house of thought. Again, I feel her fingers glide Amid my clustering hair; I see the love-light in her eyes, When all my life was fair. Again, I hear her gentle voice In warning or in love. How precious was the faith that taught My soul of things above.",https://www.gutenberg.org/cache/epub/679/pg679.html,"Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",967,"Make me a grave where'er you will, In a lowly plain or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",966,"A tender touch I forever miss, Her love so pure, her warm embrace, In my heart, her memory I'll embrace. Through joys and tears, she stood by me, Her love a beacon, forever to see, Her gentle words, a soothing sound, In my darkest moments, she was around. Her kisses healed all wounds and pain, With her, I knew I'd never be in vain, Her strength, a fortress, no storm could break, With her love, there was no heartache. But time claimed her, as all must depart, Leaving an ache in my grieving heart, Yet, her love remains, a guiding light, In every day and starry night. So, I'll hold her kisses in my soul, A precious treasure, making me whole, Though she's gone, her love will persist, In every moment, her sweet kiss exists.",522,0,0,0,0,FALSE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,The Slave Mother,Heard you that shriek? It rose,"Heard you that shriek? It rose So wildly on the air, It seem’d as if a burden’d heart Was breaking in despair. Saw you those hands so sadly clasped— The bowed and feeble head— The shuddering of that fragile form— That look of grief and dread? Saw you the sad, imploring eye? Its every glance was pain, As if a storm of agony Were sweeping through the brain. She is a mother pale with fear, Her boy clings to her side, And in her kyrtle vainly tries His trembling form to hide. He is not hers, although she bore For him a mother’s pains; He is not hers, although her blood Is coursing through his veins! He is not hers, for cruel hands May rudely tear apart The only wreath of household love That binds her breaking heart. His love has been a joyous light That o’er her pathway smiled, A fountain gushing ever new, Amid life’s desert wild. His lightest word has been a tone Of music round her heart, Their lives a streamlet blent in one— Oh, Father! must they part? They tear him from her circling arms, Her last and fond embrace. Oh! never more may her sad eyes Gaze on his mournful face. No marvel, then, these bitter shrieks Disturb the listening air: She is a mother, and her heart Is breaking in despair.",https://www.poetryfoundation.org/poems/51977/the-slave-mother-56d23017ceaad,"Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",937,"Heard you that shriek? It rose So wildly on the air, It seem'd as if a burden'd heart Was breaking in despair. Saw you those hands so sadly clasped— The bowed and feeble head— The shuddering of that fragile form— That look of grief and dread? Saw you the sad, imploring eye? Its every glance was pain, As if a storm of agony Were sweeping through the brain. She is a mother pale with fear, Her boy clings to her side, And in her kirtle vainly tries His trembling form to hide. He is not hers, although she bore For him a mother's pains; He is not hers, although her blood Is coursing through his veins! He is not hers, for cruel hands May rudely tear apart The only wreath of household love That binds her breaking heart. His love has been a joyous light That o'er her pathway smiled, A fountain gushing ever new, Amid life's desert wild. His lightest word has been a tone Of music round her heart, Their lives a streamlet blent in one— Oh, Father! must they part? They tear him from her circling arms, Her last and fond embrace. Oh! never more may her sad eyes Gaze on his mournful face. No marvel, then, these bitter shrieks Disturb the listening air: She is a mother, and her heart Is breaking in despair.",6,"Above the din, a chilling prose, A cry of anguish, fear, and woe, A sound that shakes the heart, you know. The air turned cold, the night grew dark, With haunting echoes that left a mark, In that shriek, pain's tale unfolds, A story of sorrow yet to be told. Was it a soul in torment's plight? Or spectral whispers in the night? Perhaps a creature from the deep, Disturbing secrets it did keep. Each nerve now on the edge of fray, As dread and curiosity hold sway, A moment frozen, breathless, still, To know the source of that shrill thrill. The world resumes its normal pace, Yet in your mind, the sound you trace, A haunting memory you won't dismiss, For it still lingers, that bone-chilling hiss.",871,0,1,0,1,TRUE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,Going East,"She came from the East a fair, young bride,","She came from the East a fair, young bride, With a light and a bounding heart, To find in the distant West a home With her husband to make a start. He builded his cabin far away, Where the prairie flower bloomed wild; Her love made lighter all his toil, And joy and hope around him smiled. She plied her hands to life's homely tasks, And helped to build his fortunes up; While joy and grief, like bitter and sweet, Were mingled and mixed in her cup. He sowed in his fields of golden grain, All the strength of his manly prime; Nor music of birds, nor brooks, nor bees, Was as sweet as the dollar's chime. She toiled and waited through weary years For the fortune that came at length; But toil and care and hope deferred, Had stolen and wasted her strength. The cabin changed to a stately home, Rich carpets were hushing her tread; But light was fading from her eye, And the bloom from her cheek had fled. Slower and heavier grew her step, While his gold and his gains increased; But his proud domain had not the charm Of her humble home in the East. Within her eye was a restless light, And a yearning that never ceased, A longing to see the dear old home She had left in the distant East. A longing to clasp her mother's hand, And nestle close to her heart, And to feel the heavy cares of life Like the sun-kissed shadows depart. Her husband was adding field to field, And new wealth to his golden store; And little thought the shadow of death Was entering in at his door. He had no line to sound the depths Of her tears repressed and unshed; Nor dreamed 'mid plenty a human heart Could be starving, but not for bread. The hungry heart was stilled at last; Its restless, baffled yearning ceased. A lonely man sat by the bier Of a corpse that was going East.",https://www.gutenberg.org/cache/epub/679/pg679.html,"I apologize for the confusion, but it appears that there might be some confusion regarding the poem ""Going East."" As of my last update in September 2021, there is no known poem titled ""Going East"" by Frances Ellen Watkins Harper in her collected works. Frances Ellen Watkins Harper (1825-1911) was a prominent African American poet, author, and social reformer during the 19th century. She is best known for her advocacy for abolition, women's rights, and education. Her most famous poem is ""Bury Me in a Free Land,"" which I provided earlier. If ""Going East"" is a more recent poem or a lesser-known work by Frances Ellen Watkins Harper, I won't have access to it as my training only goes up until September 2021. If you have any other queries or need assistance with something else, feel free to ask!",1324,"I'm sorry, but it appears that the poem you mentioned, beginning with ""She came from the East a fair, young bride,"" is not one of Frances Ellen Watkins Harper's well-known works, and I couldn't find any information about a poem with that specific title or opening line attributed to her. Frances Ellen Watkins Harper was a prolific African American poet, writer, and activist, and her poems often addressed themes of abolition, women's rights, and social justice. While she wrote numerous poems, the one you mentioned doesn't seem to be among her known works. If you have any other poems or works by Frances Ellen Watkins Harper that you'd like to know about, feel free to ask, and I'll do my best to assist you.",1349,"With dreams of love and joy beside, Leaving her homeland, family, and all, To answer love's melodious call. In a distant land, she found her groom, In love's embrace, they began to bloom, Together they faced life's winding trail, As their hearts intertwined without fail. Through joys and trials, they built their life, Overcoming struggles and times of strife, Her laughter rang like a sweet refrain, In every joy, love's true domain. From the East she came, a world away, But love's foundation did not sway, For in their union, they found their home, Wherever they roamed, together they'd roam. Years passed by, with memories made, Love's tapestry woven, never to fade, Through silver strands of hair and time, Their bond grew stronger, more sublime. And when the days turned to twilight's gleam, They stood together, a lifelong team, Through thick and thin, side by side, The fair, young bride and her groom did confide. In the East, where the story began, And in the West, where they made their stand, Their love's legacy would abide, A testament to love's enduring guide.",1261,0,0,0,0,FALSE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Hope,Hope is the thing with feathers,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I 've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",1,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",1,"That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",33,1,1,1,3,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,In the Garden,A bird came down the walk:,"A bird came down the walk: He did not know I saw; He bit an angle-worm in halves And ate the fellow, raw. And then he drank a dew From a convenient grass, And then hopped sidewise to the wall To let a beetle pass. He glanced with rapid eyes That hurried all abroad, — They looked like frightened beads, I thought; He stirred his velvet head Like one in danger; cautious, I offered him a crumb, And he unrolled his feathers And rowed him softer home Than oars divide the ocean, Too silver for a seam, Or butterflies, off banks of noon, Leap, splashless, as they swim.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,"I apologize for the confusion, but there seems to be a misunderstanding. As of my last update in September 2021, there is no known poem by Emily Dickinson titled ""In the Garden"" in her collected works. Emily Dickinson (1830-1886) was a prolific American poet known for her unique and innovative style. Her poems often explore themes of nature, love, death, and the human experience. While she wrote many poems that touch upon garden imagery and themes, there is no specific poem titled ""In the Garden"" that is attributed to her. If ""In the Garden"" is a more recent discovery or a lesser-known work by Emily Dickinson, I won't have access to it as my training only goes up until September 2021. If you have any other queries or need assistance with something else, feel free to ask!",577,"A Bird came down the Walk— He did not know I saw— He bit an Angleworm in halves And ate the fellow, raw, And then he drank a Dew From a convenient Grass— And then hopped sidewise to the Wall To let a Beetle pass— He glanced with rapid eyes That hurried all abroad— They looked like frightened Beads, I thought— He stirred his Velvet Head Like one in danger, Cautious, I offered him a Crumb And he unrolled his feathers And rowed him softer home— Than Oars divide the Ocean, Too silver for a seam— Or Butterflies, off Banks of Noon Leap, plashless as they swim.",33,"He did not know I saw; He bit an angle-worm in halves And ate the fellow, raw. And then he drank a dew From a convenient grass, And then hopped sidewise to the wall To let a beetle pass. He glanced with rapid eyes That hurried all around, — They looked like frightened beads, I thought; He stirred his velvet head Like one in danger; cautious, I offered him a crumb, And he unrolled his feathers And rowed him softer home Than oars divide the ocean, Too silver for a seam, Or butterflies, off banks of noon, Leap, plashless, as they swim.",31,0,1,1,2,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Dying,I heard a fly buzz when I died;,"I heard a fly buzz when I died; The stillness round my form Was like the stillness in the air Between the heaves of storm. The eyes beside had wrung them dry, And breaths were gathering sure For that last onset, when the king Be witnessed in his power. I willed my keepsakes, signed away What portion of me I Could make assignable, — and then There interposed a fly, With blue, uncertain, stumbling buzz, Between the light and me; And then the windows failed, and then I could not see to see.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,"I apologize for any confusion, but there seems to be another misunderstanding. As of my last update in September 2021, there is no known poem by Emily Dickinson titled ""Dying"" in her collected works. Emily Dickinson's poems often explored themes of mortality, death, and the afterlife, but there is no specific poem with the exact title ""Dying."" If ""Dying"" is a more recent discovery or a lesser-known work by Emily Dickinson, I won't have access to it as my training only goes up until September 2021. Emily Dickinson wrote nearly 1,800 poems, and her work continues to be studied and discovered even after her death. If you have any other queries or need assistance with something else, feel free to ask!",506,I heard a Fly buzz—when I died— The Stillness in the Room Was like the Stillness in the Air— Between the Heaves of Storm— The Eyes around—had wrung them dry— And Breaths were gathering firm For that last Onset—when the King Be witnessed—in the Room— I willed my Keepsakes—Signed away What portions of me be Assignable—and then it was There interposed a Fly— With Blue—uncertain stumbling Buzz— Between the light—and me— And then the Windows failed—and then I could not see to see—,87,"The stillness round my form Was like the stillness in the air Between the heaves of storm. The eyes beside had wrung them dry, And breaths were gathering sure For that last onset, when the king Be witnessed in his power. I willed my keepsakes, signed away What portion of me I Could make assignable, — and then There interposed a fly, With blue, uncertain, stumbling buzz, Between the light and me; And then the windows failed, and then I could not see to see.",32,0,1,1,2,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Wild Nights! Wild Nights!,Wild nights! Wild nights!,"Wild nights! Wild nights! Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port, — Done with the compass, Done with the chart. Rowing in Eden! Ah! the sea! Might I but moor To-night in thee!",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm#Wild_nights_Wild_nights,"Wild nights! Wild nights! Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port, Done with the compass, Done with the chart. Rowing in Eden! Ah! the sea! Might I but moor Tonight in thee!",3,"Wild nights! Wild nights! Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port, Done with the compass, Done with the chart. Rowing in Eden! Ah! the sea! Might I but moor To-night in thee!",2,"Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port, Done with the compass, Done with the chart. Rowing in Eden! Ah! the sea! Might I but moor To-night in thee!",28,1,1,1,3,TRUE
19,Walt Whitman,88621,TRUE,TRUE,TRUE,TRUE,TRUE,Man,White,O Captain! My Captain!,"O Captain! my Captain! our fearful trip is done,","O Captain! my Captain! our fearful trip is done, The ship has weather’d every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon’d wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You’ve fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor’d safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult O shores, and ring O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",https://www.gutenberg.org/files/1322/1322-h/1322-h.htm#link2H_4_0186,"O Captain! my Captain! our fearful trip is done, The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon'd wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult, O shores, and ring, O bells! But I, with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",7,"O Captain! my Captain! our fearful trip is done, The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon'd wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult, O shores, and ring, O bells! But I, with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",7,"The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon'd wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult, O shores, and ring, O bells! But I, with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",56,1,1,1,3,TRUE
19,Walt Whitman,88621,TRUE,TRUE,TRUE,TRUE,TRUE,Man,White,I Hear America Singing,"I hear America singing, the varied carols I hear,","I hear America singing, the varied carols I hear, Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, the hatter singing as he stands, The wood-cutter’s song, the ploughboy’s on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs.",https://www.gutenberg.org/files/1322/1322-h/1322-h.htm#link2H_4_0186,"I hear America singing, the varied carols I hear, Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, the hatter singing as he stands, The wood-cutter's song, the ploughboy's on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs.",2,"I hear America singing, the varied carols I hear, Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, the hatter singing as he stands, The woodcutter's song, the ploughboy's on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs.",3,"Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, The deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, The hatter singing as he stands, The woodcutter's song, the ploughboy's on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night, the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs.",56,1,1,1,3,TRUE
