Century,Poet,Wikipedia Length,Norton 2018,Norton 2005,Norton 1983,Norton 1975,Norton 1970,Gender,Race,Title,First Line,Whole Poem,Source,Generation -- Title,Edit Distance -- Title,Generation -- Firstline,Edit Distance -- Firstline,Generation -- Firstline Only,Edit Distance -- Firstline Only,Retrievable -- Title,Retrievable -- Firstline,Retrievable -- Firstline Only,Number Retrieved,Retrievable
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,Bury Me in a Free Land,"Make me a grave where'er you will,","Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",https://poets.org/poem/bury-me-free-land,"Bury me not in a land of slaves, Where the dark-eyed maidens weep, Where the loud bassoon of the free Never swells the air with glee. Where the hushed tread of the mourner's feet Is the only sound that's heard, Where the mother's heart is breaking, And her children are unfurled. But bear me to a free land, Where the oppressed are free, Where the light of learning shines, And the glorious banner waves on high. Where the winds of heaven blow, And the waves of ocean roll, Where the slave's chains are broken, And the free man's soul is bold. Then bury me in a free land, Where the oppressed are free, Where the light of learning shines, And the glorious banner waves on high.",898,"Make me a grave where'er you will, In the lowly churchyard ground, Or on the hill-top green and wild, Where the winds of heaven play. In the forest deep and dim, Where the weary deer may lie, Or beside the murmuring stream, Where the birds of morning sing. Where the violets bloom and die, Where the wild flowers gently wave, Or in the garden's sunny eye, Where the rose is red and fair. But let it be a place of rest, Where the weary may find peace, And the soul may find its home at last, In the bosom of Jesus. And when the shadows fall at night, And the weary soul is still, May the angels come with songs of light, To bear my spirit home.",888,"In a lowly plain, or a lofty hill; Make it where it may, I shall not care; I shall sleep as well on the soft green grass As on the marble that paves a king's palace. Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it where it may, I shall not care; I shall sleep as well in the soft green grass As on the marble that paves a king's palace.",978,0,0,0,0,FALSE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,My Mother's Kiss,"My mother's kiss, my mother's kiss,","My mother's kiss, my mother's kiss, I feel its impress now; As in the bright and happy days She pressed it on my brow. You say it is a fancied thing Within my memory fraught; To me it has a sacred place— The treasure house of thought. Again, I feel her fingers glide Amid my clustering hair; I see the love-light in her eyes, When all my life was fair. Again, I hear her gentle voice In warning or in love. How precious was the faith that taught My soul of things above.",https://www.gutenberg.org/cache/epub/679/pg679.html,"My Mother's Kiss by Frances Ellen Watkins Harper My mother's kiss! How sweet it is! It fills my heart with joy; It makes me feel so glad and warm, As if the world were bright with dawn. My mother's kiss! It is a sign Of love and tenderness; It tells me that she loves me well, And that I'm her dearest treasure. My mother's kiss! It is a bond That binds us heart to heart; It makes us one in love and joy, And nothing can ever part. My mother's kiss! It is a spell That drives away all fear; It makes me feel so safe and loved, As if I were in heaven here. My mother's kiss! It is a gift That I will cherish always; It is a part of me, And I will never let it go.",451,"My mother's kiss, my mother's kiss, How sweet it fell! It made my heart rejoice, And filled me with a sense of peace. Her gentle hand, her gentle hand, How soft and kind! It wiped away my tears, And soothed my every pain. Her loving smile, her loving smile, How bright and fair! It filled my heart with joy, And made me feel so loved. My mother's love, my mother's love, How deep and true! It will always be with me, And guide me through all my days. Thank you, Mother, for your love. Thank you for everything. I will always cherish your memory, And I will always love you.",389," How sweet it is! It warms my heart and makes me feel so bliss, When she gives me a kiss. My mother's kiss, my mother's kiss, Is like a ray of sunshine, It brightens my day and chases away the gloom, When she gives me a kiss. My mother's kiss, my mother's kiss, Is like a gentle breeze, It soothes my soul and calms my fears, When she gives me a kiss. My mother's kiss, my mother's kiss, Is the most precious gift, It's something I will cherish forever, My mother's kiss.",357,0,0,0,0,FALSE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,The Slave Mother,Heard you that shriek? It rose,"Heard you that shriek? It rose So wildly on the air, It seem’d as if a burden’d heart Was breaking in despair. Saw you those hands so sadly clasped— The bowed and feeble head— The shuddering of that fragile form— That look of grief and dread? Saw you the sad, imploring eye? Its every glance was pain, As if a storm of agony Were sweeping through the brain. She is a mother pale with fear, Her boy clings to her side, And in her kyrtle vainly tries His trembling form to hide. He is not hers, although she bore For him a mother’s pains; He is not hers, although her blood Is coursing through his veins! He is not hers, for cruel hands May rudely tear apart The only wreath of household love That binds her breaking heart. His love has been a joyous light That o’er her pathway smiled, A fountain gushing ever new, Amid life’s desert wild. His lightest word has been a tone Of music round her heart, Their lives a streamlet blent in one— Oh, Father! must they part? They tear him from her circling arms, Her last and fond embrace. Oh! never more may her sad eyes Gaze on his mournful face. No marvel, then, these bitter shrieks Disturb the listening air: She is a mother, and her heart Is breaking in despair.",https://www.poetryfoundation.org/poems/51977/the-slave-mother-56d23017ceaad,"The Slave Mother By Frances Ellen Watkins Harper She stood at the gate, and watched her child With a tearful eye; While the cold wind blew, and the bitter rain Bent her form on high. ""Oh, my son,"" she cried, ""I cannot bear to see Thee go from me; But I know that thou wilt be free, And that is why I let thee flee."" The boy stood by her side, and looked into her face, With a smile of pride; ""I will be free,"" he said, ""and I will come back And bring thee money to buy thyself."" She kissed his forehead, and then she turned away, And watched him go; And the tears ran down her cheeks, as she said, ""Perhaps I shall never see him more."" But the boy was brave, and he went on his way, And he never forgot his mother's words; And he worked and he saved, and at last he came back, And bought his mother's freedom with his gold. Then they were happy together, and they lived in peace Until the day that she died; And she was buried in the churchyard, close by the gate, Where she had stood so long and watched for her child.",860,"Heard you that shriek? It rose From hearts that bled and broke; It pierced the sky, it rent the air, A cry of human woe. It was the cry of Slavery's wrongs, The wail of souls in pain; It told of wrongs too deep for tears, And hopes too crushed to live again. It was the cry of mothers' hearts, For children torn away; Of fathers' hearts, that bled and broke, For sons who could not stay. It was the cry of human hearts, For freedom and for light; A cry that swelled the air with woe, And rent the night with fright. But yet it rose, that cry of pain, Up to the throne of God; And angels heard it as they passed, And wept above the sod. And God looked down from heaven, And saw the cruel wrong; And in His righteous wrath He swore, To right the bondman's wrong. And lo! the cry of pain was hushed, The chains fell from the slave; And Freedom's light shone over all, A beacon to the brave.",837,,1208,0,0,0,0,FALSE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,Going East,"She came from the East a fair, young bride,","She came from the East a fair, young bride, With a light and a bounding heart, To find in the distant West a home With her husband to make a start. He builded his cabin far away, Where the prairie flower bloomed wild; Her love made lighter all his toil, And joy and hope around him smiled. She plied her hands to life's homely tasks, And helped to build his fortunes up; While joy and grief, like bitter and sweet, Were mingled and mixed in her cup. He sowed in his fields of golden grain, All the strength of his manly prime; Nor music of birds, nor brooks, nor bees, Was as sweet as the dollar's chime. She toiled and waited through weary years For the fortune that came at length; But toil and care and hope deferred, Had stolen and wasted her strength. The cabin changed to a stately home, Rich carpets were hushing her tread; But light was fading from her eye, And the bloom from her cheek had fled. Slower and heavier grew her step, While his gold and his gains increased; But his proud domain had not the charm Of her humble home in the East. Within her eye was a restless light, And a yearning that never ceased, A longing to see the dear old home She had left in the distant East. A longing to clasp her mother's hand, And nestle close to her heart, And to feel the heavy cares of life Like the sun-kissed shadows depart. Her husband was adding field to field, And new wealth to his golden store; And little thought the shadow of death Was entering in at his door. He had no line to sound the depths Of her tears repressed and unshed; Nor dreamed 'mid plenty a human heart Could be starving, but not for bread. The hungry heart was stilled at last; Its restless, baffled yearning ceased. A lonely man sat by the bier Of a corpse that was going East.",https://www.gutenberg.org/cache/epub/679/pg679.html,,1758,"She came from the East a fair, young bride, With joy and gladness to her heart's desire; And he who met her at the altar side Was proud to call her his. They lived together in love and peace, And their home was a happy one; But one dark day the husband died, And the young wife was left alone. She wept for her husband, and her heart was sore; But she knew that she must be brave, And she tried to bear her grief with patience. One day, as she was sitting in her lonely home, She heard a knock at the door; And when she opened it, she saw a little child standing there. The child was crying, and the young wife asked her what was the matter; And the child told her that she was lost, and that she did not know where to go. The young wife took pity on the child, and she took her into her home; And she gave her food and a place to sleep, And she treated her as if she were her own. The child was grateful for the young wife's kindness, And she soon learned to love her as a mother. The young wife was happy to have the child with her, And she felt that she was no longer alone. The years passed by, and the child grew up to be a beautiful woman; And the young wife was proud of her, and she loved her as her own daughter. One day, the young woman met a young man, and they fell in love; And they were married, and they lived happily ever after. The young wife was happy to see her daughter so happy, And she knew that she had done her duty well. She lived to a ripe old age, and she was loved and respected by all who knew her; And when she died, she was mourned by all who had known her. She was a good woman, and she lived a good life; And her memory will live on forever.",1229," With joy and gladness to her husband's side. She brought him love and happiness and light, And made his life a thing of joy and delight. But soon the clouds began to gather round, And dark shadows fell upon her path. Her husband's love grew cold and turned to hate, And she was left alone and desolate. She wept and prayed for help, but no one came. She was all alone in the world, and she knew not what to do. Then one day she heard a voice within her say, ""Go to the East, and there you will find peace."" She rose up and went, not knowing where she was going. But she traveled on and on, until at last she came to a faraway land. There she found a little cottage in the woods, and she went inside. The cottage was empty, but it was clean and warm. She sat down by the fire and began to cry. But then she heard a voice say, ""Do not weep, my child. You are safe now."" She looked up and saw a beautiful woman standing in the doorway. The woman smiled at her and said, ""I am here to help you."" The woman took her in and gave her food and a place to sleep. She nursed her back to health, and she taught her how to live in the woods. The woman was kind and gentle, and she became like a mother to the young bride. The bride learned to love the woods, and she found peace and happiness there. She never forgot her husband, but she knew that she could never go back to him. She was content to live in the woods with the woman who had saved her life. And so she lived out the rest of her days in peace and happiness, And she never forgot the lesson she had learned: That even in the darkest of times, there is always hope.",1265,0,0,0,0,FALSE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Hope,Hope is the thing with feathers,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I 've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,"Hope is the thing with feathers That perches in the soul And sings the tune without the words And never stops at all And sweetest in the gale is heard And sore must be the storm That could abash the little bird That kept so still within And sweetest when the skies are dark And dreariest is the dawn That bird's song in the soul I hear Singing of love and light And then my heart is glad, and I Know that this bird is mine For in my darkest hour it sings And fills me with delight",194,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all. And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",2,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all. And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",2,0,1,1,2,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,In the Garden,A bird came down the walk:,"A bird came down the walk: He did not know I saw; He bit an angle-worm in halves And ate the fellow, raw. And then he drank a dew From a convenient grass, And then hopped sidewise to the wall To let a beetle pass. He glanced with rapid eyes That hurried all abroad, — They looked like frightened beads, I thought; He stirred his velvet head Like one in danger; cautious, I offered him a crumb, And he unrolled his feathers And rowed him softer home Than oars divide the ocean, Too silver for a seam, Or butterflies, off banks of noon, Leap, splashless, as they swim.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,In the Garden A bird came down the walk: He did not know I saw; He looked at me as he flew— He did not know I heard; The stillness in the air Was like the stillness in the sea— Between the Heaves of Storm— The Tides of Thought came in— And went—and came—and went— And came—and so they passed; But He that sailed the air Was never seen again— Or any drop of water shaken from his wings.,373,A bird came down the walk: He looked at me He looked at me He looked at me And flew away. He flew away But I stood there And thought about him And thought about him And thought about him And then I wrote this poem.,412,"He looked at me as he flew; He cocked his head and he looked at me; And he said, “Oh, what do you see?” I saw a little boy and girl, A boy and girl with golden hair; They were running through the field, And they were laughing in the air. The bird looked at me and he said, “I see two children at play; They are happy and they are free, And they don't have a care in the world.” I smiled at the bird and I said, “You are right, little bird; They are happy and they are free, And they don't have a care in the world.”",411,0,0,0,0,FALSE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Dying,I heard a fly buzz when I died;,"I heard a fly buzz when I died; The stillness round my form Was like the stillness in the air Between the heaves of storm. The eyes beside had wrung them dry, And breaths were gathering sure For that last onset, when the king Be witnessed in his power. I willed my keepsakes, signed away What portion of me I Could make assignable, — and then There interposed a fly, With blue, uncertain, stumbling buzz, Between the light and me; And then the windows failed, and then I could not see to see.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,Dying Dying is fine-- Death is different-- Dying is velvet-- Death is satin-- One--is but a tent-- We can raise it in a minute-- And pull it down--again-- Just as soon-- Two--is a house-- We live in it awhile-- But leave it--soon-- And go-- Death is a different matter-- We do not know-- What--is to follow-- And cannot see-- Whether--it is a tent-- Or a house-- Whether--we shall live-- In it--or not-- But we do know-- That it is a different matter-- From dying.,389,I heard a Fly buzz - when I died - The Stillness in the Room Was like the Stillness in the Air - Between the Heaves of Storm - The Eyes around - had wrung them dry - And Breaths were gathering firm For that last Onset - when the King Be witnessed - in the Room - I willed my Keepsakes - Signed away What portion of me be Assignable - and then it was There interposed a Fly - With Blue - uncertain stumbling Buzz - Between the light - and me - And then the Windows failed - and then I could not see to see -,95,,492,0,1,0,1,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Wild Nights! Wild Nights!,Wild nights! Wild nights!,"Wild nights! Wild nights! Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port, — Done with the compass, Done with the chart. Rowing in Eden! Ah! the sea! Might I but moor To-night in thee!",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm#Wild_nights_Wild_nights,Wild Nights! Wild Nights! Wild Nights! Wild Nights! Were I with thee Wild Nights should be Our luxury! Futile the Winds To a Heart in port Done with all its Shores Done with all its Coves! Farther than the Forest Runs the Chiming Sea Into the Woods My Master went To fetch a Nao for Me! Into the Woods My Master went He came again With a Nao laden With Camellias and Balsam My Master brought Me! His Lips are Sealed No other Lips have kissed His Face but mine And mine shall be The only Face he kisses Till the Judgments Seal Them for Eternity!,363,"Wild Nights! Wild Nights! Wild Nights! Wild Nights! Were I with thee Wild Nights should be Our luxury! Futile the Winds To a Heart in port Done with all its moorings Fitted for the storm. I am not the Ships Master, I cannot spread my Sails To catch the wild winds; I am the Mate And I must go Where the Master wills; My Captain does not Love the calm The quiet seas Are his delight; The Storm is his Love And when the Winds Are howling at their loudest He points his ship Into the wildest sea.",311,,224,0,0,0,0,FALSE
19,Walt Whitman,88621,TRUE,TRUE,TRUE,TRUE,TRUE,Man,White,O Captain! My Captain!,"O Captain! my Captain! our fearful trip is done,","O Captain! my Captain! our fearful trip is done, The ship has weather’d every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon’d wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You’ve fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor’d safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult O shores, and ring O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",https://www.gutenberg.org/files/1322/1322-h/1322-h.htm#link2H_4_0186,"O Captain! My Captain! O Captain! my Captain! our fearful trip is done; The ship has weathered every storm, the prize we sought is won; The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring: But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills; For you they live, and cheer you as they pass; for you they die: O Captain! my Captain! rise up and hear the bells. I hear the loud wind blow, I hear the rattle of the rigging, The ship is gone, she lies with her dead, Low in the depths of the sea; O Captain! my Captain! rise up and hear the bells. But I hear the mournful wail, The low and bitter cry: Rise up—for you the flag is flung—for you the bugle trills; For you they live, and cheer you as they pass; for you they die: O Captain! my Captain! rise up and hear the bells.",454,"O Captain! my Captain! our fearful trip is done, The ship has weathered every storm, the prize we sought is won; The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring: But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills; For you they live, and cheer you as they pass; for you they die: O Captain! my Captain! rise up and hear the bells. My Captain does not answer, his lips are pale and still; My father does not feel my arm, he has no pulse nor will; The ship is anchored safe, its voyage closed and done; From fearful trip the victor ship comes in with object won: Exult, O shores, and ring, O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",201," The ship has weathered every storm, and the voyage is won; The port is in sight, and the bells are ringing, The crew is cheering, and the Captain is singing. O Captain! my Captain! you led us through the storm, You guided us through the darkness, and you brought us to the dawn; You are the bravest man I know, and I am proud to serve you. O Captain! my Captain! you are a true hero, And your name will be remembered for generations to come; You are the embodiment of courage, strength, and determination, And you have inspired me to be the best that I can be. Thank you, Captain, for everything. I will never forget you.",733,0,1,0,1,TRUE
19,Walt Whitman,88621,TRUE,TRUE,TRUE,TRUE,TRUE,Man,White,I Hear America Singing,"I hear America singing, the varied carols I hear,","I hear America singing, the varied carols I hear, Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, the hatter singing as he stands, The wood-cutter’s song, the ploughboy’s on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs.",https://www.gutenberg.org/files/1322/1322-h/1322-h.htm#link2H_4_0186,"I Hear America Singing I hear America singing, The varied carols of the different States. I hear the farmers singing at the plough, I hear the children singing in the schools, I hear the lovers singing at night, And the mocking-birds singing in the trees. I hear the freemen singing, The freewomen singing, The soldiers singing, The sailors singing. I hear the boatmen singing on the lakes, I hear the woodmen singing in the woods, I hear the ploughmen singing in the fields. I hear the children singing in the church, I hear the organ-organist singing with them, I hear the minister singing in the pulpit, I hear the people singing in the pews. I hear the tremulous voices of the women and children, I hear the clear voices of the men, I hear the musical voices of the laughing girls, I hear the shouting voices of the men. I hear the sounds of the bells ringing, I hear the sounds of the organs playing, I hear the sounds of the trumpets blowing, I hear the sounds of the drums beating. I hear the sounds of the fifes and the drums, I hear the sounds of the bugles and the horns, I hear the sounds of the singing-birds, I hear the sounds of the laughing-girls. I hear America singing, I hear the varied carols of the different States. I hear the songs of the future, The songs of the women and the men, The songs of the children and the old people, The songs of the freemen and the freewomen. I hear the songs of the Union, The songs of the States, The songs of the people, The songs of the nation.",997,"I hear America singing, the varied carols I hear, The workman singing at his work, the farmer singing at the plough, The children singing in the school, the young men and women singing in the choir, The boatmen singing on the bay, the woodmen singing in the forest, The mother singing to her babe, the wife singing to her husband, The daughter singing to her lover, the mother singing lullabies to her children, The young men singing in the streets, the old men singing in the chimney-corners, The sick man singing in his bed, the dying man singing on his deathbed. I hear America singing, and the song is varied and beautiful. I hear the songs of the slaves singing in the field, I hear the songs of the freemen singing in the street. I hear the songs of the young men and women, of the old men and women, I hear the songs of the mothers and the children, I hear the songs of the whole people, of all ages and sexes. I hear America singing, and the song is grand. It is the song of the people, the song of the nation, The song of the Union, the song of the Republic, The song of the future. I hear America singing, and the song is hopeful. It is the song of the progress, the song of the glory, The song of the freedom, the song of the equality, The song of the brotherhood, the song of the sisterhood, The song of the love. I hear America singing, and the song is beautiful. It is the song of the hope, the song of the dream, The song of the future.",936,,839,0,0,0,0,FALSE
